date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:08:03	666383/666383	------	200	untouched ('OK')	text/html	date:Tue,%2014%20Mar%202023%2004:52:55%20GMT	https://www.classcentral.com/	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/index.html	(from )
00:08:04	673/673	------	200	untouched ('')	application/octet-stream	etag:%22640fe2ee-2a1%22	https://www.classcentral.com/site.webmanifest	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
00:08:04	8069/8069	------	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2014%20Mar%202023%2004:53:32%20GMT	https://www.classcentral.com/subjects	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/subjects.25.delayed	(from https://www.classcentral.com/)
00:08:04	1328/1328	------	200	untouched ('')	application/octet-stream	date:Tue,%2014%20Mar%202023%2002:58:54%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
00:08:04	7847/7847	------	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2014%20Mar%202023%2004:53:28%20GMT	https://www.classcentral.com/subject/business	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/subject/business.29.delayed	(from https://www.classcentral.com/)
00:08:04	1328/1328	------	200	untouched ('')	application/octet-stream	date:Sun,%2012%20Mar%202023%2021:48:31%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
00:08:04	7879/7879	------	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2014%20Mar%202023%2004:53:29%20GMT	https://www.classcentral.com/subject/humanities	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/subject/humanities.2a.delayed	(from https://www.classcentral.com/)
00:08:04	1488/1488	------	200	untouched ('')	application/octet-stream	date:Tue,%2014%20Mar%202023%2002:58:19%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
00:08:04	7946/7946	------	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2014%20Mar%202023%2004:53:32%20GMT	https://www.classcentral.com/subject/engineering	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/subject/engineering.2b.delayed	(from https://www.classcentral.com/)
00:08:04	5588/5588	------	200	untouched ('')	application/octet-stream	date:Sun,%2012%20Mar%202023%2021:48:31%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
00:08:04	8122/8122	------	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2014%20Mar%202023%2004:53:33%20GMT	https://www.classcentral.com/subject/science	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/subject/science.2c.delayed	(from https://www.classcentral.com/)
00:08:04	12520/12520	------	200	untouched ('')	application/octet-stream	date:Tue,%2014%20Mar%202023%2002:58:19%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
00:08:04	7966/7966	------	429	error ('Too%20Many%20Requests')	text/html	date:Tue,%2014%20Mar%202023%2004:53:34%20GMT	https://www.classcentral.com/subject/social-sciences	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/subject/social-sciences.2e.delayed	(from https://www.classcentral.com/)
