date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:52:55	666383/666383	U--MCZ	200	updated ('OK')	text/html	date:Tue,%2014%20Mar%202023%2004:52:55%20GMT	https://www.classcentral.com/	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/index.html	(from )
23:53:07	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2014%20Mar%202023%2004:53:07%20GMT	http://schema.org/WebSite	C:/My%20Web%20Sites/proyecto_final/schema.org/WebSite.0.delayed	(from https://www.classcentral.com/)
23:53:23	975/975	U-----	200	untouched ('')	image/png	date:Mon,%2013%20Mar%202023%2018:37:27%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
23:53:23	731/731	U-----	200	untouched ('')	image/png	date:Mon,%2013%20Mar%202023%2018:27:29%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
23:53:23	2206/2206	U-----	200	untouched ('')	image/png	date:Mon,%2013%20Mar%202023%2018:27:29%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
23:53:23	673/673	U-----	200	untouched ('')	application/octet-stream	etag:%22640fe2ee-2a1%22	https://www.classcentral.com/site.webmanifest	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
23:53:23	1960/1960	U--MCZ	200	updated ('OK')	image/svg+xml	etag:W/%22640fe2ee-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
23:53:23	913/913	U-----	200	untouched ('')	text/xml	etag:W/%22640fe2ee-391%22	https://www.classcentral.com/opensearch.xml	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
23:53:23	1328/1328	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2014%20Mar%202023%2002:58:54%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
23:53:24	1328/1328	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2012%20Mar%202023%2021:48:31%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
23:53:24	1488/1488	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2014%20Mar%202023%2002:58:19%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
23:53:24	5588/5588	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2012%20Mar%202023%2021:48:31%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
23:53:24	12520/12520	U-----	200	untouched ('')	application/octet-stream	date:Tue,%2014%20Mar%202023%2002:58:19%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
23:53:25	15280/15280	U-----	200	untouched ('')	application/octet-stream	date:Mon,%2013%20Mar%202023%2018:27:29%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
23:53:25	6868/6868	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2012%20Mar%202023%2021:38:45%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
23:53:26	898543/898543	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2004:53:25%20GMT	https://www.classcentral.com/subject/cs	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/subject/cs.html	(from https://www.classcentral.com/)
23:53:26	9684/9684	U-----	200	untouched ('')	application/octet-stream	date:Mon,%2013%20Mar%202023%2018:27:29%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
23:53:26	7376/7376	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2012%20Mar%202023%2021:48:31%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
23:53:26	8444/8444	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2012%20Mar%202023%2021:38:45%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
23:53:26	5804/5804	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2012%20Mar%202023%2021:38:45%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-vietnamese.woff2	(from https://www.classcentral.com/)
23:53:26	14960/14960	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2012%20Mar%202023%2021:38:45%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin-ext.woff2	(from https://www.classcentral.com/)
23:53:27	849586/849586	---MCZ	200	added ('OK')	text/html	date:Tue,%2014%20Mar%202023%2004:53:27%20GMT	https://www.classcentral.com/subject/health	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/subject/health.html	(from https://www.classcentral.com/)
23:53:27	16112/16112	U-----	200	untouched ('')	application/octet-stream	date:Sun,%2012%20Mar%202023%2021:48:31%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	C:/My%20Web%20Sites/proyecto_final/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-regular-latin.woff2	(from https://www.classcentral.com/)
